"lang	form	an3_notflat	n3	"
"CMUDict10000	VEYuNvo1 CTXtNfo1	-9.84058671837	-9.9059843264	"
"CMUDict10000	VEYuNvo1 CKXtNfo1	-7.02364864552	-7.04592168804	"
"CMUDict10000	VEYuNvo1 CTXsNfo1	-9.46424476275	-9.34567320334	"
"CMUDict10000	VEYuNvo1 CBXmNvn1	-7.69296620952	-7.77361225498	"
"CMUDict10000	VEYuNvo1 CTXmNvn1	-5.59605362948	-5.62223140013	"
"CMUDict10000	VEYuNvo1 CTXlLvo1	-8.7002621103	-8.72157916724	"
"CMUDict10000	VEYuNvo1 CTXrNvo1	-8.36381567838	-8.48968542872	"
"CMUDict10000	VBYuNvo1 CTXtNfo1	-8.93214371331	-9.0630653915	"
"CMUDict10000	VBYuNvo1 CKXtNfo1	-7.367912581	-7.38990151617	"
"CMUDict10000	VBYuNvo1 CTXsNfo1	-8.56534833902	-8.59155394471	"
"CMUDict10000	VBYuNvo1 CBXmNvn1	-9.03217532154	-9.10052221426	"
"CMUDict10000	VBYuNvo1 CTXmNvn1	-7.99950919263	-8.02835255975	"
"CMUDict10000	VBYuNvo1 CTXlLvo1	-7.86082301539	-7.89121686085	"
"CMUDict10000	VBYuNvo1 CTXrNvo1	-8.38028814231	-8.40109818674	"
"CMUDict10000	VAYuNvo1 CTXtNfo1	-9.64239274313	-9.63847368846	"
"CMUDict10000	VAYuNvo1 CKXtNfo1	-7.89990973721	-7.92312996228	"
"CMUDict10000	VAYuNvo1 CTXsNfo1	-9.35066625881	-9.59462232801	"
"CMUDict10000	VAYuNvo1 CBXmNvn1	-8.53377208633	-8.63577231313	"
"CMUDict10000	VAYuNvo1 CTXmNvn1	-7.73528703288	-7.74384283516	"
"CMUDict10000	VAYuNvo1 CTXlLvo1	-9.02211834186	-9.0857554508	"
"CMUDict10000	VEYuNvo1 CTXrNvo1 CTXtNfo1	-11.7706066963	-11.8484626665	"
"CMUDict10000	VEYuNvo1 CTXrNvo1 CKXtNfo1	-15.7645380305	-15.8917848413	"
"CMUDict10000	VEYuNvo1 CTXrNvo1 CTXsNfo1	-13.3744892428	-13.5426235857	"
"CMUDict10000	VEYuNvo1 CTXlLvo1 CTXtNfo1	-12.7966902531	-12.835553424	"
"CMUDict10000	VEYuNvo1 CTXlLvo1 CTXsNfo1	-14.8579860548	-14.9446884265	"
"CMUDict10000	VBYuNvo1 CTXlLvo1 CTXtNfo1	-10.593150974	-10.6364254924	"
"CMUDict10000	VBYuNvo1 CTXlLvo1 CTXsNfo1	-13.1491179656	-13.2203171376	"
"CMUDict10000	VAYuNvo1 CTXlLvo1 CTXtNfo1	-10.7824965516	-10.8370225425	"
"CMUDict10000	VAYuNvo1 CTXlLvo1 CTXsNfo1	-12.0704171945	-12.1526468144	"
"CMUDict10000	VEYuNvo1 CTXmNvn1 CTXtNfo1	-7.58821987313	-7.60144318884	"
"CMUDict10000	VEYuNvo1 CTXmNvn1 CTXsNfo1	-8.66747910934	-8.70123418208	"
"CMUDict10000	VBYuNvo1 CTXmNvn1 CTXtNfo1	-8.1763801739	-8.17069221352	"
"CMUDict10000	VBYuNvo1 CTXmNvn1 CTXsNfo1	-9.79350151224	-9.81299618763	"
"CMUDict10000	VAYuNvo1 CTXmNvn1 CTXtNfo1	-8.99893510984	-8.99527306657	"
"CMUDict10000	VAYuNvo1 CTXmNvn1 CTXsNfo1	-9.51792866419	-9.53507152862	"
"CMUDict10000	CBXtNfo1 VEYuNvo1 CTXtNfo1	-10.0822740483	-10.1307910567	"
"CMUDict10000	CBXtNfo1 VEYuNvo1 CKXtNfo1	-8.66519037899	-8.6625335126	"
"CMUDict10000	CBXtNfo1 VEYuNvo1 CTXsNfo1	-13.3543251103	-12.3550674556	"
"CMUDict10000	CBXtNfo1 VEYuNvo1 CBXmNvn1	-12.9554001174	-13.5523405624	"
"CMUDict10000	CBXtNfo1 VEYuNvo1 CTXmNvn1	-9.11289218806	-9.10320368548	"
"CMUDict10000	CBXtNfo1 VEYuNvo1 CTXlLvo1	-10.0497355667	-10.1170903621	"
"CMUDict10000	CBXtNfo1 VEYuNvo1 CTXrNvo1	-9.90496081288	-10.0383600653	"
"CMUDict10000	CBXtNfo1 VBYuNvo1 CTXtNfo1	-8.2290696745	-8.25183735141	"
"CMUDict10000	CBXtNfo1 VBYuNvo1 CKXtNfo1	-8.7438712097	-8.79981193441	"
"CMUDict10000	CBXtNfo1 VBYuNvo1 CTXsNfo1	-9.85177541546	-9.84047097014	"
"CMUDict10000	CBXtNfo1 VBYuNvo1 CBXmNvn1	-12.9607353274	-12.8895568477	"
"CMUDict10000	CBXtNfo1 VBYuNvo1 CTXmNvn1	-9.45456557205	-9.52166589791	"
"CMUDict10000	CBXtNfo1 VBYuNvo1 CTXlLvo1	-9.69004665243	-9.66941232417	"
"CMUDict10000	CBXtNfo1 VBYuNvo1 CTXrNvo1	-9.71816708766	-9.71675162705	"
"CMUDict10000	CBXtNfo1 VAYuNvo1 CTXtNfo1	-9.83017635627	-9.84834634133	"
"CMUDict10000	CBXtNfo1 VAYuNvo1 CKXtNfo1	-9.86478276031	-9.82549889678	"
"CMUDict10000	CBXtNfo1 VAYuNvo1 CTXsNfo1	-9.71520740561	-9.94638576408	"
"CMUDict10000	CBXtNfo1 VAYuNvo1 CBXmNvn1	-10.5537230575	-10.7923361325	"
"CMUDict10000	CBXtNfo1 VAYuNvo1 CTXmNvn1	-9.31243747627	-9.32667755169	"
"CMUDict10000	CBXtNfo1 VAYuNvo1 CTXlLvo1	-11.5822875081	-11.6425858824	"
"CMUDict10000	CBXtNfo1 VEYuNvo1 CTXrNvo1 CTXtNfo1	-13.3117515808	-13.397137303	"
"CMUDict10000	CBXtNfo1 VEYuNvo1 CTXrNvo1 CKXtNfo1	-17.30568173	-17.4404594778	"
"CMUDict10000	CBXtNfo1 VEYuNvo1 CTXrNvo1 CTXsNfo1	-14.9156335499	-15.0912982223	"
"CMUDict10000	CBXtNfo1 VEYuNvo1 CTXlLvo1 CTXtNfo1	-14.1461635744	-14.2310646189	"
"CMUDict10000	CBXtNfo1 VEYuNvo1 CTXlLvo1 CTXsNfo1	-16.2074593084	-16.3401996214	"
"CMUDict10000	CBXtNfo1 VBYuNvo1 CTXlLvo1 CTXtNfo1	-12.4223745007	-12.4146209557	"
"CMUDict10000	CBXtNfo1 VBYuNvo1 CTXlLvo1 CTXsNfo1	-14.9783413422	-14.9985126009	"
"CMUDict10000	CBXtNfo1 VAYuNvo1 CTXlLvo1 CTXtNfo1	-13.3426652194	-13.3938529742	"
"CMUDict10000	CBXtNfo1 VAYuNvo1 CTXlLvo1 CTXsNfo1	-14.6305857525	-14.7094772461	"
"CMUDict10000	CBXtNfo1 VEYuNvo1 CTXmNvn1 CTXtNfo1	-11.1050584307	-11.0824154742	"
"CMUDict10000	CBXtNfo1 VEYuNvo1 CTXmNvn1 CTXsNfo1	-12.1843176627	-12.1822064674	"
"CMUDict10000	CBXtNfo1 VBYuNvo1 CTXmNvn1 CTXtNfo1	-9.63143654624	-9.66400555168	"
"CMUDict10000	CBXtNfo1 VBYuNvo1 CTXmNvn1 CTXsNfo1	-11.2485578628	-11.3063095258	"
"CMUDict10000	CBXtNfo1 VAYuNvo1 CTXmNvn1 CTXtNfo1	-10.5760855431	-10.5781077831	"
"CMUDict10000	CBXtNfo1 VAYuNvo1 CTXmNvn1 CTXsNfo1	-11.0950790929	-11.1179062451	"
"CMUDict10000	CTXtNfo1 VBYuNvo1 CTXtNfo1	-9.66678520417	-9.75606196942	"
"CMUDict10000	CTXtNfo1 VBYuNvo1 CKXtNfo1	-8.53346218528	-8.54682721103	"
"CMUDict10000	CTXtNfo1 VBYuNvo1 CTXsNfo1	-9.83600463106	-9.84490286977	"
"CMUDict10000	CTXtNfo1 VBYuNvo1 CBXmNvn1	-10.8565751101	-10.928292708	"
"CMUDict10000	CTXtNfo1 VBYuNvo1 CTXmNvn1	-9.99980077757	-10.0374428367	"
"CMUDict10000	CTXtNfo1 VBYuNvo1 CTXlLvo1	-9.201542536	-9.21417307875	"
"CMUDict10000	CTXtNfo1 VBYuNvo1 CTXrNvo1	-10.1127837235	-10.1188919972	"
"CMUDict10000	CTXtNfo1 VAYuNvo1 CTXtNfo1	-10.8214761407	-10.7033290971	"
"CMUDict10000	CTXtNfo1 VAYuNvo1 CKXtNfo1	-10.181106096	-10.1954930052	"
"CMUDict10000	CTXtNfo1 VAYuNvo1 CTXsNfo1	-10.7609365644	-11.0667923824	"
"CMUDict10000	CTXtNfo1 VAYuNvo1 CBXmNvn1	-10.0996758593	-10.1863814104	"
"CMUDict10000	CTXtNfo1 VAYuNvo1 CTXmNvn1	-9.78286774126	-9.74838003561	"
"CMUDict10000	CTXtNfo1 VAYuNvo1 CTXlLvo1	-12.1412561308	-12.1559586349	"
"CMUDict10000	CTXtNfo1 VBYuNvo1 CTXlLvo1 CTXtNfo1	-11.9338703959	-11.9593817103	"
"CMUDict10000	CTXtNfo1 VBYuNvo1 CTXlLvo1 CTXsNfo1	-14.4898372518	-14.5432733555	"
"CMUDict10000	CTXtNfo1 VAYuNvo1 CTXlLvo1 CTXtNfo1	-13.9016338945	-13.9072257266	"
